/home/toni_intern/cervAI/lib/python3.12/site-packages/torch/optim/lr_scheduler.py:62: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn(
CUDA available: True
loading annotations into memory...
Done (t=0.01s)
creating index...
index created!
loading annotations into memory...
Done (t=0.34s)
creating index...
index created!
Num training images: 1053
Epoch: 0 | Iteration: 0 | Classification loss: 1.31139 | Regression loss: 1.01859 | Running loss: 2.32998
Epoch: 0 | Iteration: 1 | Classification loss: 1.25306 | Regression loss: 1.06263 | Running loss: 2.32284
Epoch: 0 | Iteration: 2 | Classification loss: 1.22924 | Regression loss: 1.04642 | Running loss: 2.30711
Epoch: 0 | Iteration: 3 | Classification loss: 1.22016 | Regression loss: 1.00412 | Running loss: 2.28640
Epoch: 0 | Iteration: 4 | Classification loss: 1.15771 | Regression loss: 1.09499 | Running loss: 2.27966
Epoch: 0 | Iteration: 5 | Classification loss: 1.11365 | Regression loss: 0.89913 | Running loss: 2.23518
Epoch: 0 | Iteration: 6 | Classification loss: 1.09758 | Regression loss: 0.98926 | Running loss: 2.21399
Epoch: 0 | Iteration: 7 | Classification loss: 0.99185 | Regression loss: 0.94143 | Running loss: 2.17890
Epoch: 0 | Iteration: 8 | Classification loss: 1.07668 | Regression loss: 0.88194 | Running loss: 2.15443
Epoch: 0 | Iteration: 9 | Classification loss: 0.91628 | Regression loss: 0.89528 | Running loss: 2.12014
Epoch: 0 | Iteration: 10 | Classification loss: 0.98691 | Regression loss: 0.90749 | Running loss: 2.09962
Epoch: 0 | Iteration: 11 | Classification loss: 0.81519 | Regression loss: 1.11380 | Running loss: 2.08540
Epoch: 0 | Iteration: 12 | Classification loss: 0.70647 | Regression loss: 1.04712 | Running loss: 2.05987
Epoch: 0 | Iteration: 13 | Classification loss: 0.63047 | Regression loss: 0.85635 | Running loss: 2.01894
Epoch: 0 | Iteration: 14 | Classification loss: 0.74549 | Regression loss: 1.02560 | Running loss: 2.00242
Epoch: 0 | Iteration: 15 | Classification loss: 0.54403 | Regression loss: 1.00666 | Running loss: 1.97419
Epoch: 0 | Iteration: 16 | Classification loss: 0.61790 | Regression loss: 0.98297 | Running loss: 1.95223
Epoch: 0 | Iteration: 17 | Classification loss: 0.46968 | Regression loss: 0.89801 | Running loss: 1.91975
Epoch: 0 | Iteration: 18 | Classification loss: 0.54311 | Regression loss: 0.90554 | Running loss: 1.89496
Epoch: 0 | Iteration: 19 | Classification loss: 0.52453 | Regression loss: 0.91296 | Running loss: 1.87208
Epoch: 0 | Iteration: 20 | Classification loss: 0.51861 | Regression loss: 0.86953 | Running loss: 1.84904
Epoch: 0 | Iteration: 21 | Classification loss: 0.44981 | Regression loss: 0.87624 | Running loss: 1.82527
Epoch: 0 | Iteration: 22 | Classification loss: 0.45616 | Regression loss: 1.03527 | Running loss: 1.81075
Epoch: 0 | Iteration: 23 | Classification loss: 0.44768 | Regression loss: 0.91051 | Running loss: 1.79189
Epoch: 0 | Iteration: 24 | Classification loss: 0.48432 | Regression loss: 0.86477 | Running loss: 1.77418
Epoch: 0 | Iteration: 25 | Classification loss: 0.53240 | Regression loss: 1.02603 | Running loss: 1.76588
Epoch: 0 | Iteration: 26 | Classification loss: 0.41384 | Regression loss: 0.84593 | Running loss: 1.74714
Epoch: 0 | Iteration: 27 | Classification loss: 0.51095 | Regression loss: 0.85367 | Running loss: 1.73348
Epoch: 0 | Iteration: 28 | Classification loss: 0.81195 | Regression loss: 0.90653 | Running loss: 1.73296
Epoch: 0 | Iteration: 29 | Classification loss: 0.54782 | Regression loss: 0.83867 | Running loss: 1.72141
Epoch: 0 | Iteration: 30 | Classification loss: 0.38719 | Regression loss: 0.81132 | Running loss: 1.70454
Epoch: 0 | Iteration: 31 | Classification loss: 0.63079 | Regression loss: 0.89401 | Running loss: 1.69893
Epoch: 0 | Iteration: 32 | Classification loss: 0.29574 | Regression loss: 0.92338 | Running loss: 1.68439
Epoch: 0 | Iteration: 33 | Classification loss: 0.45234 | Regression loss: 0.78047 | Running loss: 1.67111
Epoch: 0 | Iteration: 34 | Classification loss: 0.40981 | Regression loss: 0.88741 | Running loss: 1.66042
Epoch: 0 | Iteration: 35 | Classification loss: 0.63641 | Regression loss: 1.00187 | Running loss: 1.65981
Epoch: 0 | Iteration: 36 | Classification loss: 0.62063 | Regression loss: 0.99360 | Running loss: 1.65858
Epoch: 0 | Iteration: 37 | Classification loss: 0.44620 | Regression loss: 0.88061 | Running loss: 1.64985
Epoch: 0 | Iteration: 38 | Classification loss: 0.39894 | Regression loss: 0.86897 | Running loss: 1.64005
Epoch: 0 | Iteration: 39 | Classification loss: 0.39673 | Regression loss: 0.88572 | Running loss: 1.63111
Epoch: 0 | Iteration: 40 | Classification loss: 0.32085 | Regression loss: 0.72662 | Running loss: 1.61688
Epoch: 0 | Iteration: 41 | Classification loss: 0.51742 | Regression loss: 0.80149 | Running loss: 1.60978
Epoch: 0 | Iteration: 42 | Classification loss: 0.40283 | Regression loss: 0.78533 | Running loss: 1.59998
Epoch: 0 | Iteration: 43 | Classification loss: 0.41723 | Regression loss: 0.86525 | Running loss: 1.59276
Epoch: 0 | Iteration: 44 | Classification loss: 0.36723 | Regression loss: 0.77457 | Running loss: 1.58274
Epoch: 0 | Iteration: 45 | Classification loss: 0.49950 | Regression loss: 0.94841 | Running loss: 1.57981
Epoch: 0 | Iteration: 46 | Classification loss: 0.32429 | Regression loss: 0.70813 | Running loss: 1.56816
Epoch: 0 | Iteration: 47 | Classification loss: 0.63043 | Regression loss: 0.94408 | Running loss: 1.56829
Epoch: 0 | Iteration: 48 | Classification loss: 0.37962 | Regression loss: 0.96277 | Running loss: 1.56368
Epoch: 0 | Iteration: 49 | Classification loss: 0.30760 | Regression loss: 0.79007 | Running loss: 1.55436
Epoch: 0 | Iteration: 50 | Classification loss: 0.27350 | Regression loss: 0.76533 | Running loss: 1.54426
Epoch: 0 | Iteration: 51 | Classification loss: 0.36145 | Regression loss: 0.78774 | Running loss: 1.53666
Epoch: 0 | Iteration: 52 | Classification loss: 0.38104 | Regression loss: 0.88103 | Running loss: 1.53148
Epoch: 0 | Iteration: 53 | Classification loss: 0.48516 | Regression loss: 0.81184 | Running loss: 1.52713
Epoch: 0 | Iteration: 54 | Classification loss: 0.26777 | Regression loss: 0.75037 | Running loss: 1.51788
Epoch: 0 | Iteration: 55 | Classification loss: 0.43922 | Regression loss: 0.95082 | Running loss: 1.51560
Epoch: 0 | Iteration: 56 | Classification loss: 0.55456 | Regression loss: 1.02962 | Running loss: 1.51680
Epoch: 0 | Iteration: 57 | Classification loss: 0.36353 | Regression loss: 0.62040 | Running loss: 1.50761
Epoch: 0 | Iteration: 58 | Classification loss: 0.34571 | Regression loss: 0.93432 | Running loss: 1.50376
Epoch: 0 | Iteration: 59 | Classification loss: 0.30040 | Regression loss: 0.78774 | Running loss: 1.49683
Epoch: 0 | Iteration: 60 | Classification loss: 0.30883 | Regression loss: 0.84155 | Running loss: 1.49115
Epoch: 0 | Iteration: 61 | Classification loss: 0.34567 | Regression loss: 0.70578 | Running loss: 1.48406
Epoch: 0 | Iteration: 62 | Classification loss: 0.35537 | Regression loss: 0.90626 | Running loss: 1.48053
